axis,id,count
cell,obj_ad__act_ad,45
cell,obj_ad__act_coord,45
cell,obj_ad__act_embed,45
cell,obj_ad__act_hint,45
cell,obj_ad__act_need,45
cell,obj_ad__act_none,45
cell,obj_ad__act_perm,45
cell,obj_ad__act_ques,45
cell,obj_ad__act_spc,45
cell,obj_ad__act_sph,45
cell,obj_ad__act_subord,45
cell,obj_none__act_ad,45
cell,obj_none__act_coord,45
cell,obj_none__act_embed,45
cell,obj_none__act_hint,45
cell,obj_none__act_need,45
cell,obj_none__act_perm,45
cell,obj_none__act_ques,45
cell,obj_none__act_spc,45
cell,obj_none__act_sph,45
cell,obj_none__act_subord,45
cell,obj_spc__act_ad,45
cell,obj_spc__act_coord,45
cell,obj_spc__act_embed,45
cell,obj_spc__act_hint,45
cell,obj_spc__act_need,45
cell,obj_spc__act_none,45
cell,obj_spc__act_perm,45
cell,obj_spc__act_ques,45
cell,obj_spc__act_spc,45
cell,obj_spc__act_sph,45
cell,obj_spc__act_subord,45
cell,obj_sph__act_ad,45
cell,obj_sph__act_coord,45
cell,obj_sph__act_embed,45
cell,obj_sph__act_hint,45
cell,obj_sph__act_need,45
cell,obj_sph__act_none,45
cell,obj_sph__act_perm,45
cell,obj_sph__act_ques,45
cell,obj_sph__act_spc,45
cell,obj_sph__act_sph,45
cell,obj_sph__act_subord,45
task,close_drawer,129
task,lift_blue_block_table,129
task,lift_red_block_slider,129
task,lift_red_block_table,129
task,move_slider_left,129
task,move_slider_right,129
task,open_drawer,129
task,push_red_block_left,129
task,push_red_block_right,129
task,rotate_red_block_left,129
task,rotate_red_block_right,129
task,turn_off_led,129
task,turn_off_lightbulb,129
task,turn_on_led,129
task,turn_on_lightbulb,129
